layer_id,base_model,metric,accuracy
0,rust,rust,0.6217948717948718
1,rust,rust,0.6730769230769231
10,rust,rust,0.6923076923076923
11,rust,rust,0.6730769230769231
12,rust,rust,0.7243589743589743
13,rust,rust,0.7115384615384616
14,rust,rust,0.6666666666666666
15,rust,rust,0.6474358974358975
16,rust,rust,0.7243589743589743
17,rust,rust,0.717948717948718
18,rust,rust,0.7307692307692307
19,rust,rust,0.7628205128205128
2,rust,rust,0.7435897435897436
20,rust,rust,0.717948717948718
21,rust,rust,0.7243589743589743
22,rust,rust,0.7307692307692307
23,rust,rust,0.7115384615384616
24,rust,rust,0.7628205128205128
25,rust,rust,0.7243589743589743
26,rust,rust,0.717948717948718
27,rust,rust,0.7307692307692307
28,rust,rust,0.8012820512820513
29,rust,rust,0.7564102564102564
3,rust,rust,0.7564102564102564
30,rust,rust,0.7628205128205128
31,rust,rust,0.7051282051282052
4,rust,rust,0.7628205128205128
5,rust,rust,0.75
6,rust,rust,0.7564102564102564
7,rust,rust,0.7243589743589743
8,rust,rust,0.717948717948718
9,rust,rust,0.7115384615384616
0,go,go,0.448051948051948
1,go,go,0.448051948051948
10,go,go,0.4545454545454545
11,go,go,0.4415584415584415
12,go,go,0.4415584415584415
13,go,go,0.4415584415584415
14,go,go,0.4415584415584415
15,go,go,0.4415584415584415
16,go,go,0.422077922077922
17,go,go,0.4285714285714285
18,go,go,0.435064935064935
19,go,go,0.435064935064935
2,go,go,0.422077922077922
20,go,go,0.4415584415584415
21,go,go,0.4415584415584415
22,go,go,0.4415584415584415
23,go,go,0.4415584415584415
24,go,go,0.4415584415584415
25,go,go,0.448051948051948
26,go,go,0.4415584415584415
27,go,go,0.435064935064935
28,go,go,0.4415584415584415
29,go,go,0.435064935064935
3,go,go,0.4545454545454545
30,go,go,0.4285714285714285
31,go,go,0.4285714285714285
4,go,go,0.4545454545454545
5,go,go,0.448051948051948
6,go,go,0.4285714285714285
7,go,go,0.448051948051948
8,go,go,0.4545454545454545
9,go,go,0.4415584415584415
